,country,athlete_name,sport_name,event_name,medal_type
0,拉脱维亚,CAVARS Agnis,三对三篮球;BK3;,男子组,金牌
1,拉脱维亚,KRUMINS Edgars,三对三篮球;BK3;,男子组,金牌
2,拉脱维亚,LASMANIS Karlis,三对三篮球;BK3;,男子组,金牌
3,拉脱维亚,MIEZIS Nauris,三对三篮球;BK3;,男子组,金牌
4,美国,DOLSON Stefanie,三对三篮球;BK3;,女子组,金牌
5,美国,GRAY Allisha,三对三篮球;BK3;,女子组,金牌
6,美国,PLUM Kelsey,三对三篮球;BK3;,女子组,金牌
7,美国,YOUNG Jacquelyn,三对三篮球;BK3;,女子组,金牌
8,土耳其,GAZOZ Mete,射箭;ARC;,男子个人,金牌
9,韩国,KIM Je Deok,射箭;ARC;,男子团体,金牌
10,韩国,KIM Woojin,射箭;ARC;,男子团体,金牌
11,韩国,OH Jinhyek,射箭;ARC;,男子团体,金牌
12,韩国,AN San,射箭;ARC;,女子个人,金牌
13,韩国,AN San,射箭;ARC;,女子团体,金牌
14,韩国,JANG Minhee,射箭;ARC;,女子团体,金牌
15,韩国,KANG Chaeyoung,射箭;ARC;,女子团体,金牌
16,韩国,AN San,射箭;ARC;,混合团体,金牌
17,韩国,KIM Je Deok,射箭;ARC;,混合团体,金牌
18,日本,HASHIMOTO Daiki,竞技体操;GAR;,男子全能,金牌
19,以色列,DOLGOPYAT Artem,竞技体操;GAR;,男子自由体操,金牌
0,日本,HASHIMOTO Daiki,竞技体操;GAR;,男子单杠,金牌
1,中国,ZOU Jingyuan,竞技体操;GAR;,男子双杠,金牌
2,英国,WHITLOCK Max,竞技体操;GAR;,男子鞍马,金牌
3,中国,LIU Yang,竞技体操;GAR;,男子吊环,金牌
4,韩国,SHIN Jeahwan,竞技体操;GAR;,男子跳马,金牌
5,ROC,ABLIAZIN Denis,竞技体操;GAR;,男子团体,金牌
6,ROC,BELYAVSKIY David,竞技体操;GAR;,男子团体,金牌
7,ROC,DALALOYAN Artur,竞技体操;GAR;,男子团体,金牌
8,ROC,NAGORNYY Nikita,竞技体操;GAR;,男子团体,金牌
9,美国,LEE Sunisa,竞技体操;GAR;,女子全能,金牌
10,中国,GUAN Chenchen,竞技体操;GAR;,女子平衡木,金牌
11,美国,CAREY Jade,竞技体操;GAR;,女子自由体操,金牌
12,比利时,DERWAEL Nina,竞技体操;GAR;,女子高低杠,金牌
13,巴西,ANDRADE Rebeca,竞技体操;GAR;,女子跳马,金牌
14,ROC,AKHAIMOVA Liliia,竞技体操;GAR;,女子团体,金牌
15,ROC,LISTUNOVA Viktoriia,竞技体操;GAR;,女子团体,金牌
16,ROC,MELNIKOVA Angelina,竞技体操;GAR;,女子团体,金牌
17,ROC,URAZOVA Vladislava,竞技体操;GAR;,女子团体,金牌
18,ROC,KOLESNICHENKO Svetlana,花样游泳;SWA;,双人,金牌
19,ROC,ROMASHINA Svetlana,花样游泳;SWA;,双人,金牌
0,ROC,CHIGIREVA Vlada,花样游泳;SWA;,团体,金牌
1,ROC,GOLIADKINA Marina,花样游泳;SWA;,团体,金牌
2,ROC,KOLESNICHENKO Svetlana,花样游泳;SWA;,团体,金牌
3,ROC,KOMAR Polina,花样游泳;SWA;,团体,金牌
4,ROC,PATSKEVICH Aleksandra,花样游泳;SWA;,团体,金牌
5,ROC,ROMASHINA Svetlana,花样游泳;SWA;,团体,金牌
6,ROC,SHISHKINA Alla,花样游泳;SWA;,团体,金牌
7,ROC,SHUROCHKINA Maria,花样游泳;SWA;,团体,金牌
8,埃塞俄比亚,BAREGA Selemon,田径;ATH;,男子10000米,金牌
9,意大利,JACOBS Lamont Marcell,田径;ATH;,男子100米,金牌
10,牙买加,PARCHMENT Hansle,田径;ATH;,男子110米跨栏,金牌
11,挪威,INGEBRIGTSEN Jakob,田径;ATH;,男子1500米,金牌
12,加拿大,de GRASSE Andre,田径;ATH;,男子200米,金牌
13,意大利,STANO Massimo,田径;ATH;,男子20公里竞走,金牌
14,摩洛哥,EL BAKKALI Soufiane,田径;ATH;,男子3000米障碍赛,金牌
15,巴哈马,GARDINER Steven,田径;ATH;,男子400米,金牌
16,挪威,WARHOLM Karsten,田径;ATH;,男子400米跨栏,金牌
17,意大利,DESALU Eseosa Fostine,田径;ATH;,男子 4 x 100米接力,金牌
18,意大利,JACOBS Lamont Marcell,田径;ATH;,男子 4 x 100米接力,金牌
19,意大利,PATTA Lorenzo,田径;ATH;,男子 4 x 100米接力,金牌
0,意大利,TORTU Filippo,田径;ATH;,男子 4 x 100米接力,金牌
1,美国,BENJAMIN Rai,田径;ATH;,男子 4 x 400米接力,金牌
2,美国,CHERRY Michael,田径;ATH;,男子 4 x 400米接力,金牌
3,美国,DEADMON Bryce,田径;ATH;,男子 4 x 400米接力,金牌
4,美国,NORMAN Michael,田径;ATH;,男子 4 x 400米接力,金牌
5,美国,NORWOOD Vernon,田径;ATH;,男子 4 x 400米接力,金牌
6,美国,ROSS Randolph,田径;ATH;,男子 4 x 400米接力,金牌
7,美国,STEWART Trevor,田径;ATH;,男子 4 x 400米接力,金牌
8,乌干达,CHEPTEGEI Joshua,田径;ATH;,男子5000米,金牌
9,波兰,TOMALA Dawid,田径;ATH;,男子50公里竞走,金牌
10,肯尼亚,KORIR Emmanuel Kipkurui,田径;ATH;,男子800米,金牌
11,加拿大,WARNER Damian,田径;ATH;,男子十项全能,金牌
12,瑞典,STAHL Daniel,田径;ATH;,男子铁饼,金牌
13,波兰,NOWICKI Wojciech,田径;ATH;,男子链球,金牌
14,卡塔尔,BARSHIM Mutaz Essa,田径;ATH;,男子跳高,金牌
15,意大利,TAMBERI Gianmarco,田径;ATH;,男子跳高,金牌
16,印度,CHOPRA Neeraj,田径;ATH;,男子标枪,金牌
17,希腊,TENTOGLOU Miltiadis,田径;ATH;,男子跳远,金牌
18,肯尼亚,KIPCHOGE Eliud,田径;ATH;,男子马拉松,金牌
19,瑞典,DUPLANTIS Armand,田径;ATH;,男子撑竿跳高,金牌
0,美国,CROUSER Ryan,田径;ATH;,男子铅球,金牌
1,葡萄牙,PICHARDO Pedro,田径;ATH;,男子三级跳远,金牌
2,荷兰,HASSAN Sifan,田径;ATH;,女子10000米,金牌
3,牙买加,THOMPSON-HERAH Elaine,田径;ATH;,女子100米,金牌
4,波多黎各,CAMACHO-QUINN Jasmine,田径;ATH;,女子100米跨栏,金牌
5,肯尼亚,KIPYEGON Faith,田径;ATH;,女子1500米,金牌
6,牙买加,THOMPSON-HERAH Elaine,田径;ATH;,女子200米,金牌
7,意大利,PALMISANO Antonella,田径;ATH;,女子20公里竞走,金牌
8,乌干达,CHEMUTAI Peruth,田径;ATH;,女子3000米障碍赛,金牌
9,巴哈马,MILLER-UIBO Shaunae,田径;ATH;,女子400米,金牌
10,美国,McLAUGHLIN Sydney,田径;ATH;,女子400米跨栏,金牌
11,牙买加,BURCHELL Remona,田径;ATH;,女子 4 x 100米接力,金牌
12,牙买加,FRASER-PRYCE Shelly-Ann,田径;ATH;,女子 4 x 100米接力,金牌
13,牙买加,JACKSON Shericka,田径;ATH;,女子 4 x 100米接力,金牌
14,牙买加,MORRISON Natasha,田径;ATH;,女子 4 x 100米接力,金牌
15,牙买加,THOMPSON-HERAH Elaine,田径;ATH;,女子 4 x 100米接力,金牌
16,牙买加,WILLIAMS Briana,田径;ATH;,女子 4 x 100米接力,金牌
17,美国,ELLIS Kendall,田径;ATH;,女子 4 x 400米接力,金牌
18,美国,FELIX Allyson,田径;ATH;,女子 4 x 400米接力,金牌
19,美国,IRBY Lynna,田径;ATH;,女子 4 x 400米接力,金牌
0,美国,JONATHAS Wadeline,田径;ATH;,女子 4 x 400米接力,金牌
1,美国,McLAUGHLIN Sydney,田径;ATH;,女子 4 x 400米接力,金牌
2,美国,MU Athing,田径;ATH;,女子 4 x 400米接力,金牌
3,美国,MUHAMMAD Dalilah,田径;ATH;,女子 4 x 400米接力,金牌
4,美国,WHITNEY Kaylin,田径;ATH;,女子 4 x 400米接力,金牌
5,荷兰,HASSAN Sifan,田径;ATH;,女子5000米,金牌
6,美国,MU Athing,田径;ATH;,女子800米,金牌
7,美国,ALLMAN Valarie,田径;ATH;,女子铁饼,金牌
8,波兰,WLODARCZYK Anita,田径;ATH;,女子链球,金牌
9,比利时,THIAM Nafissatou,田径;ATH;,女子七项全能,金牌
10,ROC,LASITSKENE Mariya,田径;ATH;,女子跳高,金牌
11,中国,LIU Shiying,田径;ATH;,女子标枪,金牌
12,德国,MIHAMBO Malaika,田径;ATH;,女子跳远,金牌
13,肯尼亚,JEPCHIRCHIR Peres,田径;ATH;,女子马拉松,金牌
14,美国,NAGEOTTE Katie,田径;ATH;,女子撑竿跳高,金牌
15,中国,GONG Lijiao,田径;ATH;,女子铅球,金牌
16,委内瑞拉,ROJAS Yulimar,田径;ATH;,女子三级跳远,金牌
17,波兰,BAUMGART-WITAN Iga,田径;ATH;,混合4 x 400米接力,金牌
